id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3686,Vita's Hideaway,4645,Vita,,Historic Anacostia,38.86339,-76.98889,Private room,55,2,76,2021-08-09,0.86,1,274,4,
3943,Historic Rowhouse Near Monuments,5059,Vasa,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91195,-77.00456,Private room,71,2,434,2021-09-11,3.21,2,315,5,
4529,Bertina's  House Part One,5803,Bertina'S House,,"Eastland Gardens, Kenilworth",38.90585,-76.94469,Private room,54,30,102,2019-07-05,1.20,1,179,0,
4967,"DC, Near Metro",7086,Seveer,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91409,-76.99368,Private room,99,2,31,2016-09-22,0.27,3,123,0,
5589,Cozy apt in Adams Morgan,6527,Ami,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91887,-77.04008,Entire home/apt,99,5,95,2020-03-05,0.70,2,153,0,
7103,"Best of Washington - Great neighborhood, parking",17633,Charlotte,,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.91988,-77.09796,Entire home/apt,68,6,91,2021-08-28,1.38,49,167,3,
9097,Adams Morgan Charm,6527,Ami,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91966,-77.04306,Private room,42,2,112,2019-10-30,0.80,2,0,0,
9641,Sophisticated Logan Circle Loft,32067,Melissa,,"Dupont Circle, Connecticut Avenue/K Street",38.90927,-77.03471,Entire home/apt,195,2,156,2021-09-07,2.04,2,44,3,
11785,Sanctuary near Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92622,-77.07591,Entire home/apt,125,1,403,2021-08-01,3.02,4,351,12,
12442,Peaches & Cream near Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92744,-77.07496,Private room,60,1,100,2021-06-13,1.37,4,359,6,
13744,"Heart of the City -HalfBlock to METRO, Restaurants",53927,Victoria,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92836,-77.03136,Entire home/apt,125,4,28,2021-08-25,0.52,1,151,3,
14218,Quiet Comfort near Nat'l Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92668,-77.07686,Private room,61,1,95,2021-08-01,1.23,4,363,3,
14570,Downtown Spacious Bedroom & Private Bath,56646,Serge,,"Shaw, Logan Circle",38.90595,-77.02564,Private room,90,3,554,2019-07-29,3.98,1,39,0,
16684,Capitol Hill Guest Suite,64814,Matt+Jean,,"Union Station, Stanton Park, Kingman Park",38.89866,-77.00179,Entire home/apt,95,14,174,2021-05-22,1.75,1,322,4,
17131,The Loft near National Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92644,-77.07646,Private room,60,1,85,2021-06-20,1.02,4,285,3,
22453,Elegant Logan Circle Loft Share,32067,Melissa,,"Dupont Circle, Connecticut Avenue/K Street",38.90933,-77.03484,Shared room,90,2,102,2021-07-14,1.33,2,86,5,
